FT    ID    AT    WT    ST
8     2     1     0     7
8     4     1     0     7
8     5     1     0     7
12     12     2     0     10
16     11     2     0     14
17     6     2     0     15
22     3     1     0     21
26     18     3     1     22
26     8     2     0     24
27     10     2     0     25
27     7     2     0     25
28     19     4     0     24
28     16     3     0     25
31     1     1     0     30
35     9     2     0     33
37     42     7     20     10
37     13     3     0     34
40     38     7     21     12
41     25     5     6     30
46     40     7     21     18
46     35     6     20     20
46     33     6     11     29
48     34     6     2     40
49     20     4     0     45
49     17     3     0     46
50     22     4     0     46
52     51     8     29     15
56     32     6     16     34
58     45     8     33     17
59     50     8     38     13
59     39     7     28     24
65     43     8     40     17
65     23     4     6     55
68     54     9     41     18
68     37     7     30     31
70     55     9     40     21
70     15     3     0     67
71     24     4     0     67
75     49     8     38     29
76     27     5     7     64
79     44     8     38     33
80     58     10     48     22
81     36     7     24     50
82     76     13     62     7
82     62     10     55     17
83     53     9     40     34
84     68     11     57     16
89     61     10     49     30
89     63     10     42     37
93     75     12     59     22
94     77     13     63     18
94     69     11     54     29
94     26     5     11     78
104     41     7     20     77
106     80     14     66     26
106     67     11     59     36
106     64     10     46     50
106     29     6     20     80
108     84     15     67     26
112     89     16     68     28
114     47     8     32     74
119     88     16     67     36
119     78     13     66     40
121     92     17     72     32
124     83     15     67     42
128     95     18     75     35
130     21     4     102     24
138     52     8     122     8
138     94     18     76     44
138     65     11     57     70
143     90     16     73     54
144     99     19     87     38
151     48     8     120     23
152     60     10     49     93
156     70     11     59     86
161     93     18     76     67
166     56     9     139     18
166     31     6     118     42
167     79     14     67     86
174     98     19     87     68
177     101     19     75     83
178     66     11     146     21
178     97     19     85     74
183     72     11     155     17
191     81     14     164     13
191     74     12     162     17
192     73     12     160     20
195     59     10     146     39
197     86     15     177     5
207     82     14     175     18
209     96     18     179     12
212     85     15     176     21
212     57     10     142     60
213     100     19     178     16
214     30     6     108     100
222     87     15     180     27
226     102     19     190     17
Orders: 97 [Norm:4, Veg:27, VIP:11]
cooks: 21 [Norm:6, Veg:7, VIP:8, injured:26]
Avg Wait = 57.7835, Avg Serv = 34.5052
Urgent orders: 55,  Auto-promoted: 72.2222%
